sgRNA	Gene	NE_GFP_low
MADD_22347	MADD	932
KRIT1_2474	KRIT1	582
FAM227B_64473	FAM227B	1838
LRRC3B_57651	LRRC3B	300
SLC13A4_34883	SLC13A4	1306
SMIM10_73936	SMIM10	1789
ANKUB1_71313	ANKUB1	1254
ATXN3L_56268	ATXN3L	1873
IGF1_9292	IGF1	642
GPR161_32799	GPR161	1274
TGIF2-C20orf24_76059	TGIF2-C20orf24	531
CT47A1_74569	CT47A1	1167
MTX2_28801	MTX2	1978
TMEM57_41976	TMEM57	459
CHAMP1_67396	CHAMP1	951
ISCA1_51866	ISCA1	1865
ADAL_63468	ADAL	1024
VPS54_38992	VPS54	1308
OR8H2_71642	OR8H2	382
SETMAR_17167	SETMAR	2229
TRIM61_71993	TRIM61	773
FOXO1_6430	FOXO1	1631
Non-Targeting Control_77045	Non-Targeting Control	3959
TMEM105_67678	TMEM105	1072
CEACAM3_3089	CEACAM3	872
Non-Targeting Control_76649	Non-Targeting Control	4308
FLNB_6457	FLNB	1639
BRD7_36531	BRD7	536
CDH19_36184	CDH19	479
HBG1_8209	HBG1	1344
SIGLEC12_55175	SIGLEC12	1244
10-Sep_62426	10-Sep	1170
HES4_46404	HES4	728
TP53AIP1_47230	TP53AIP1	977
HIST1H2BO_21690	HIST1H2BO	1242
CORO1C_33293	CORO1C	1076
FRY_27098	FRY	1085
RIPK4_39769	RIPK4	1725
PFN4_70442	PFN4	1157
CHST5_33184	CHST5	222
HAT1_22183	HAT1	1375
SYCP3_37234	SYCP3	788
Non-Targeting Control_76561	Non-Targeting Control	5963
OTUD5_42738	OTUD5	7981
ENPP3_13627	ENPP3	2317
CT47A5_74550	CT47A5	3788
GNG3_7359	GNG3	2078
RGS16_16123	RGS16	379
Non-Targeting Control_77245	Non-Targeting Control	4301
TAF9B_39150	TAF9B	1453
NXF2_43840	NXF2	775
KRTAP9-3_52661	KRTAP9-3	3328
ZNF486_55575	ZNF486	817
C18orf21_52290	C18orf21	1471
SLC16A2_17649	SLC16A2	1323
GCC2_25478	GCC2	1473
NPSR1_70736	NPSR1	983
C16orf47_70968	C16orf47	1539
IFNK_44416	IFNK	542
Non-Targeting Control_77152	Non-Targeting Control	3746
KCTD15_48801	KCTD15	1647
RABAC1_28519	RABAC1	632
SLC38A3_29782	SLC38A3	1077
CXCL13_28504	CXCL13	618
ZNF816_58955	ZNF816	1349
CYLC1_4321	CYLC1	2870
NREP_24459	NREP	825
LRRC39_59361	LRRC39	1144
KRTAP23-1_68629	KRTAP23-1	1733
KIFAP3_31236	KIFAP3	1420
HLA-C_8387	HLA-C	1049
SRRM3_65958	SRRM3	291
SLMO1_28798	SLMO1	549
GUCY1A2_7985	GUCY1A2	1245
CR1L_3839	CR1L	589
PLCL1_14128	PLCL1	531
HSPB9_56678	HSPB9	826
KRCC1_38476	KRCC1	740
OR5H14_72607	OR5H14	1110
RMND5B_48024	RMND5B	721
CASKIN1_45726	CASKIN1	731
LAMTOR5_28435	LAMTOR5	497
COG1_24680	COG1	1229
PROL1_46611	PROL1	877
TMPRSS2_19344	TMPRSS2	934
CYFIP1_32021	CYFIP1	863
Non-Targeting Control_77069	Non-Targeting Control	5464
TMEM91_73664	TMEM91	812
RAB25_45011	RAB25	416
TPGS1_56084	TPGS1	644
HPCAL4_38767	HPCAL4	811
OR1S2_65467	OR1S2	737
SREBF1_18180	SREBF1	2207
WDR20_56022	WDR20	1461
MUM1L1_60679	MUM1L1	1891
UBL3_14313	UBL3	906
PPIAL4A_74335	PPIAL4A	338
DNAJC24_58266	DNAJC24	1551
CXorf65_63234	CXorf65	1711
1-Mar_47964	1-Mar	3214
BRMS1_33920	BRMS1	374
FNDC3A_31027	FNDC3A	769
CABLES1_55998	CABLES1	1132
C2orf48_69966	C2orf48	595
CAP2_28254	CAP2	584
KLHL40_59935	KLHL40	270
OPRM1_13066	OPRM1	85
HDDC3_70315	HDDC3	578
ZNF530_69947	ZNF530	1112
CYP1A2_4339	CYP1A2	1744
HNRNPCL4_76311	HNRNPCL4	1499
SERPINE2_13908	SERPINE2	1399
ZNF197_27235	ZNF197	710
SCNN1D_16931	SCNN1D	1761
ACPP_170	ACPP	1934
CGGBP1_22274	CGGBP1	228
Non-Targeting Control_76467	Non-Targeting Control	3150
C1orf112_43179	C1orf112	460
NLGN2_45827	NLGN2	704
Non-Targeting Control_76559	Non-Targeting Control	7853
TEX22_74199	TEX22	1493
LGALS3_10598	LGALS3	785
KPNA1_10265	KPNA1	689
NUDT6_30323	NUDT6	390
NARR_76230	NARR	1162
GYLTL1B_58217	GYLTL1B	1630
ZNF275_29283	ZNF275	912
UCN3_57099	UCN3	1389
SIRT6_39006	SIRT6	1155
OR5AR1_65298	OR5AR1	3976
FBXO17_57453	FBXO17	1711
FOXE3_6404	FOXE3	1764
OTC_13133	OTC	1907
DLL4_40256	DLL4	2532
SP3_18018	SP3	561
UBR2_32393	UBR2	1792
FAHD2A_37523	FAHD2A	874
IL1RL1_24091	IL1RL1	1010
WBSCR28_60372	WBSCR28	783
ZACN_70116	ZACN	852
PCDHA10_44019	PCDHA10	1192
ARRDC2_35580	ARRDC2	1512
CD1B_2535	CD1B	701
CAPN11_30214	CAPN11	477
ZNF343_49080	ZNF343	1017
ZNF843_67544	ZNF843	1023
B3GAT1_35536	B3GAT1	3187
Non-Targeting Control_77412	Non-Targeting Control	4096
PPP1R36_61411	PPP1R36	2473
AKAP17A_21441	AKAP17A	857
LRRIQ4_69613	LRRIQ4	1880
AMER1_60686	AMER1	2351
TUSC3_21159	TUSC3	1056
PTGER4_15338	PTGER4	1299
GAP43_6869	GAP43	1938
Non-Targeting Control_76569	Non-Targeting Control	5728
IGSF23_61842	IGSF23	319
BRF1_7973	BRF1	67
ISOC1_37541	ISOC1	1165
SULT1A2_18430	SULT1A2	942
CROCC_25648	CROCC	179
DSCAML1_45487	DSCAML1	1315
TMEM110_70488	TMEM110	160
SLFN12_41581	SLFN12	2037
XAGE1B_74263	XAGE1B	994
ZCCHC13_71522	ZCCHC13	1555
SUPT20H_42705	SUPT20H	3795
Non-Targeting Control_76587	Non-Targeting Control	4779
ZBED2_49216	ZBED2	954
SLC6A17_71144	SLC6A17	871
TOMM5_72458	TOMM5	674
ZNF532_41922	ZNF532	995
Non-Targeting Control_76856	Non-Targeting Control	2868
RTN4RL2_70022	RTN4RL2	1909
FAM161A_52979	FAM161A	2886
ZNF559-ZNF177_76110	ZNF559-ZNF177	612
MPPED1_2089	MPPED1	955
CRYBB2_3961	CRYBB2	1384
SLC37A4_6707	SLC37A4	2539
Non-Targeting Control_76925	Non-Targeting Control	3330
SLC16A1_17645	SLC16A1	2526
SPANXN5_73435	SPANXN5	988
NYNRIN_45721	NYNRIN	2643
SLC2A5_17475	SLC2A5	911
A4GALT_39717	A4GALT	712
RNFT1_37931	RNFT1	1000
C1orf195_74475	C1orf195	1555
CLOCK_25257	CLOCK	964
ANKRD27_52875	ANKRD27	2124
AGFG2_8836	AGFG2	1935
ARHGEF10L_41761	ARHGEF10L	1369
TNKS_22585	TNKS	1234
SLC26A3_5028	SLC26A3	2532
MYL6B_60819	MYL6B	336
HIST1H4C_21756	HIST1H4C	648
TAS2R13_37392	TAS2R13	566
DIAPH2_4769	DIAPH2	1422
RBMY1E_70634	RBMY1E	318
CHTF8_41006	CHTF8	438
CCDC160_69830	CCDC160	2138
AMDHD2_37504	AMDHD2	734
RNF215_64689	RNF215	1457
KLB_62719	KLB	1415
HERC1_23413	HERC1	2024
IL7R_9450	IL7R	1954
BPHL_1854	BPHL	351
IFNA13_9233	IFNA13	1733
OR52D1_71580	OR52D1	1799
SLC10A1_17603	SLC10A1	1508
LAMA3_10465	LAMA3	900
KLHL23_62461	KLHL23	1193
SEC14L6_75031	SEC14L6	480
KIF13B_32388	KIF13B	1683
PXDN_20972	PXDN	2469
CKMT2_3302	CKMT2	205
KCNK2_10085	KCNK2	2540
RNF113B_60785	RNF113B	1176
JCHAIN_9347	JCHAIN	1864
CACNG8_46744	CACNG8	699
LPAR5_45043	LPAR5	2269
ATF2_3862	ATF2	517
CLPTM1_3423	CLPTM1	2707
Non-Targeting Control_76484	Non-Targeting Control	4629
PGAM2_13789	PGAM2	654
SOCS4_58543	SOCS4	482
SMCO2_69307	SMCO2	2252
CYP2A7_4351	CYP2A7	1481
BRWD3_66403	BRWD3	372
RBMXL1_73415	RBMXL1	552
TRPC5_19609	TRPC5	1580
PMAIP1_14243	PMAIP1	1450
C22orf23_53921	C22orf23	497
MTHFD2L_73041	MTHFD2L	416
Non-Targeting Control_77198	Non-Targeting Control	5614
ATMIN_32378	ATMIN	738
DYNC2H1_49544	DYNC2H1	1406
JPH4_53691	JPH4	420
OLFM4_28498	OLFM4	3642
MYO9B_12129	MYO9B	1849
ARHGAP15_43548	ARHGAP15	842
FZD10_30474	FZD10	495
AMDHD2_37505	AMDHD2	541
PSG3_15110	PSG3	550
PTPDC1_60600	PTPDC1	311
RBM7_27266	RBM7	1874
DYNAP_67699	DYNAP	1296
CYCS_39813	CYCS	521
ZNF583_61915	ZNF583	2725
CAPN15_17946	CAPN15	533
CDKN2AIPNL_55812	CDKN2AIPNL	1830
APCS_901	APCS	1758
CLPX_29305	CLPX	490
TYRP1_19801	TYRP1	158
TSGA10_51233	TSGA10	352
MYOF_35088	MYOF	183
ESAM_55680	ESAM	1136
FOXD2_6424	FOXD2	1034
ZNF735_75069	ZNF735	794
UPP2_62523	UPP2	522
FYCO1_49238	FYCO1	3311
TP53_19456	TP53	157
ABHD14A_33937	ABHD14A	464
ANXA8_74252	ANXA8	5029
XAGE2_25031	XAGE2	1033
SIX5_61890	SIX5	401
ZNF404_69445	ZNF404	1982
RNF31_41483	RNF31	1465
SIGLEC11_57101	SIGLEC11	1810
STAT4_18356	STAT4	3842
KRTAP9-3_52660	KRTAP9-3	314
CCDC122_63378	CCDC122	1727
C1orf185_67924	C1orf185	3244
ADAMTS18_64223	ADAMTS18	739
MAMLD1_26819	MAMLD1	1719
NR2E1_19295	NR2E1	659
ARIH1_33804	ARIH1	989
ENGASE_48011	ENGASE	581
NRGN_12854	NRGN	768
MGAM_23504	MGAM	777
KRTAP10-11_70676	KRTAP10-11	1710
ESCO1_57229	ESCO1	1066
SPRR4_63720	SPRR4	480
PLP2_14204	PLP2	1373
MTMR8_42797	MTMR8	649
FOXO6_75419	FOXO6	394
ENDOD1_31588	ENDOD1	584
Non-Targeting Control_77052	Non-Targeting Control	3104
OR2A42_72553	OR2A42	1894
GPATCH4_40817	GPATCH4	2726
VOPP1_51666	VOPP1	113
ABHD11_52129	ABHD11	525
ZNF585A_64564	ZNF585A	1241
FAM209B_71194	FAM209B	977
ICAM3_9101	ICAM3	1935
ANKRD42_68787	ANKRD42	1613
TEX28_4298	TEX28	790
DMRTC1B_74754	DMRTC1B	463
HIVEP1_8355	HIVEP1	1159
Non-Targeting Control_76976	Non-Targeting Control	4417
RECK_21916	RECK	1093
GJD4_65369	GJD4	1023
SERPINH1_2438	SERPINH1	1430
ZNF273_29179	ZNF273	426
BCL3_1650	BCL3	1231
CDSN_2975	CDSN	597
CNTNAP5_59721	CNTNAP5	711
NRBF2_36963	NRBF2	625
GNRH2_7399	GNRH2	294
HYPM_33653	HYPM	2572
CLEC11A_16868	CLEC11A	535
IFNA13_9235	IFNA13	524
PIWIL1_24365	PIWIL1	1067
CHAC2_73426	CHAC2	1237
STMN2_30040	STMN2	142
DHRS3_24305	DHRS3	1126
CAPZA3_56591	CAPZA3	436
WAPAL_31615	WAPAL	362
EMD_5541	EMD	2345
PER2_23233	PER2	518
TTLL4_25502	TTLL4	2545
ABHD17C_46566	ABHD17C	683
RNF219_49351	RNF219	1022
MSH3_11758	MSH3	2281
USP17L27_74679	USP17L27	1349
TCP11L2_66615	TCP11L2	2394
LGALS7B_74333	LGALS7B	273
CCDC89_65609	CCDC89	639
KRTAP15-1_66530	KRTAP15-1	1225
PRTN3_15081	PRTN3	732
DPH7_56327	DPH7	441
ELMOD1_42621	ELMOD1	346
SH3GLB1_37801	SH3GLB1	1261
MBL2_11183	MBL2	684
SLC12A5_45540	SLC12A5	851
AKT1_571	AKT1	1103
PIF1_50723	PIF1	477
DAPL1_56147	DAPL1	651
TNFRSF11B_13048	TNFRSF11B	907
SPA17_39536	SPA17	251
TMPRSS12_67389	TMPRSS12	392
SGCZ_60509	SGCZ	1360
IFNL2_67122	IFNL2	611
PIP5K1B_21822	PIP5K1B	1815
CD300C_29382	CD300C	794
LRBA_2788	LRBA	1077
ZNF710_70311	ZNF710	928
MME_11581	MME	595
CPPED1_42284	CPPED1	262
PHLDA1_30908	PHLDA1	2356
GPR137B_19318	GPR137B	1505
NFIB_12524	NFIB	3936
RLN3_57981	RLN3	1824
CNNM4_35074	CNNM4	1275
CBX5_32885	CBX5	1522
FPR1_6563	FPR1	468
CCDC71L_64015	CCDC71L	762
JPH3_45372	JPH3	1284
C1orf127_62013	C1orf127	1953
CYS1_64339	CYS1	1928
ZNF441_59018	ZNF441	1405
C7orf43_42123	C7orf43	1410
CYP2J2_4394	CYP2J2	943
KIAA0040_25572	KIAA0040	2149
GALNT8_34966	GALNT8	1001
SLC9A3R1_24624	SLC9A3R1	599
MAGEA6_11017	MAGEA6	499
Non-Targeting Control_76828	Non-Targeting Control	3573
SCARA5_68368	SCARA5	1901
SMARCC1_17759	SMARCC1	345
Non-Targeting Control_76782	Non-Targeting Control	4088
TFAP2E_68969	TFAP2E	1458
TLR3_19281	TLR3	891
WNT7A_20280	WNT7A	635
MMD_33073	MMD	1795
PPIL1_39210	PPIL1	381
NEK4_18399	NEK4	1209
APOBEC3C_36109	APOBEC3C	538
CUL5_21239	CUL5	334
ARHGAP18_56593	ARHGAP18	2188
SHISA7_75010	SHISA7	982
EFHD2_49098	EFHD2	434
AGBL3_69151	AGBL3	833
CPB1_3774	CPB1	666
Non-Targeting Control_77253	Non-Targeting Control	2433
VAV1_20091	VAV1	232
RRBP1_16640	RRBP1	636
RBP4_15947	RBP4	377
BMP2K_42727	BMP2K	2810
Non-Targeting Control_76781	Non-Targeting Control	5053
HMOX2_8527	HMOX2	508
FAM185A_65975	FAM185A	2389
ARL5A_34775	ARL5A	1272
SLC1A5_17448	SLC1A5	1080
SF3B6_39197	SF3B6	2168
OR2D2_58282	OR2D2	896
PRORY_76163	PRORY	2290
RNF24_30560	RNF24	908
Non-Targeting Control_76529	Non-Targeting Control	5079
SLC13A5_67651	SLC13A5	1057
SYP_18573	SYP	2896
CACNB4_2187	CACNB4	1103
NFIB_12523	NFIB	1503
MDN1_32038	MDN1	52
FABP1_6002	FABP1	3765
ERGIC3_39146	ERGIC3	551
RAC2_15709	RAC2	1513
FMO4_6497	FMO4	1865
RAD23A_15732	RAD23A	2275
CCDC102B_50109	CCDC102B	1013
CMA1_3437	CMA1	3663
ZNF438_65628	ZNF438	1124
TMEM243_49049	TMEM243	1617
DAOA_67102	DAOA	1447
CD81_2761	CD81	658
ZBTB18_28198	ZBTB18	658
STAG2_29022	STAG2	1593
ERICH6_59988	ERICH6	1094
MEGF9_5385	MEGF9	1464
FCAMR_52718	FCAMR	1268
LRTM2_74439	LRTM2	663
SERPINE1_13269	SERPINE1	277
RAB3C_57581	RAB3C	1261
NBPF8_74795	NBPF8	1429
SEMA4F_28314	SEMA4F	1173
EMC2_25637	EMC2	428
PTBP1_15302	PTBP1	217
COLGALT1_49700	COLGALT1	454
UGT2B15_19966	UGT2B15	660
NLK_39329	NLK	1117
NFE4_46501	NFE4	1190
THSD7B_51269	THSD7B	503
CT47A10_74533	CT47A10	1305
AGFG2_8834	AGFG2	2760
Non-Targeting Control_77119	Non-Targeting Control	4703
SPRN_73469	SPRN	1411
DNAJC16_32513	DNAJC16	800
NRXN1_24663	NRXN1	183
NEURL4_53663	NEURL4	719
PXMP4_30641	PXMP4	385
PLXNB3_14239	PLXNB3	1541
WBSCR27_62984	WBSCR27	671
OR6B3_62374	OR6B3	1151
FLG2_71161	FLG2	1641
EPPK1_52177	EPPK1	639
SH3BP5_24923	SH3BP5	1127
SLC40A1_37057	SLC40A1	528
GLTSCR1_37016	GLTSCR1	4307
RSPH10B2_74586	RSPH10B2	541
Non-Targeting Control_76506	Non-Targeting Control	5560
TSHZ3_46032	TSHZ3	1591
CMTM4_61546	CMTM4	1036
MPPED2_2053	MPPED2	1199
KCNQ5_44268	KCNQ5	612
Non-Targeting Control_76741	Non-Targeting Control	2606
BSX_71726	BSX	783
ZNF764_56285	ZNF764	565
CSRNP2_51708	CSRNP2	721
PDXK_22341	PDXK	316
C14orf159_50610	C14orf159	122
ZSCAN10_54385	ZSCAN10	764
Non-Targeting Control_76588	Non-Targeting Control	4481
CTSB_4237	CTSB	1609
OR5K3_72616	OR5K3	952
C10orf82_61165	C10orf82	1440
CSTF2T_32331	CSTF2T	569
H2AFY_25202	H2AFY	538
ZNF579_63606	ZNF579	827
Non-Targeting Control_76986	Non-Targeting Control	4432
Non-Targeting Control_76549	Non-Targeting Control	5208
PRY_23800	PRY	544
ZNF526_57647	ZNF526	461
TMED9_40450	TMED9	382
ABHD17B_37817	ABHD17B	1667
MOB1A_42026	MOB1A	2503
OR13H1_69826	OR13H1	1311
FER1L5_55425	FER1L5	587
BAD_1562	BAD	201
RNF214_66869	RNF214	604
SSTR1_18281	SSTR1	226
ZFP42_60073	ZFP42	794
ACO2_149	ACO2	1419
ADGRL2_32284	ADGRL2	1312
ZNF606_50690	ZNF606	508
ZCCHC10_40662	ZCCHC10	3534
LRRFIP2_24188	LRRFIP2	1064
HOXD11_8775	HOXD11	1792
TTLL9_63773	TTLL9	518
Non-Targeting Control_76744	Non-Targeting Control	5011
SLC52A2_49314	SLC52A2	968
ZFAND3_47023	ZFAND3	2510
SELV_69944	SELV	807
COL16A1_3654	COL16A1	228
LOC100129924_75245	LOC100129924	1487
CD82_9933	CD82	877
GRIK1_7736	GRIK1	867
DCAF4L2_60537	DCAF4L2	914
PQLC1_50789	PQLC1	260
GADD45A_4620	GADD45A	425
Non-Targeting Control_76895	Non-Targeting Control	2559
ZNF728_71042	ZNF728	3421
C1QL4_68802	C1QL4	939
FOXQ1_56733	FOXQ1	2201
C19orf67_74091	C19orf67	261
HIVEP1_8354	HIVEP1	931
TMEM41B_72842	TMEM41B	211
FKTN_6174	FKTN	2988
NEK3_12451	NEK3	1028
HIP1_8344	HIP1	1391
CORIN_28946	CORIN	2475
CD320_38389	CD320	2055
IFITM5_70830	IFITM5	350
SOX21_30339	SOX21	616
PDPR_41463	PDPR	1621
FIGNL2_72513	FIGNL2	813
HLA-DQB1_8426	HLA-DQB1	5101
Non-Targeting Control_77025	Non-Targeting Control	4182
DEDD_24142	DEDD	1136
Non-Targeting Control_76631	Non-Targeting Control	3492
SPAST_18051	SPAST	1735
POU5F2_60227	POU5F2	3396
Non-Targeting Control_77426	Non-Targeting Control	4843
CENPK_47379	CENPK	92
LMX1A_10731	LMX1A	1192
ARF6_1094	ARF6	452
MAP3K3_11345	MAP3K3	1188
TPD52_19473	TPD52	1255
DAPP1_35502	DAPP1	1679
REEP5_21057	REEP5	1475
PROL1_46613	PROL1	1306
MTCL1_32250	MTCL1	2890
HIST1H2AK_21623	HIST1H2AK	632
Non-Targeting Control_76476	Non-Targeting Control	5967
APOC1_964	APOC1	2018
ICOS_36674	ICOS	197
PIGG_40839	PIGG	918
TBC1D25_12973	TBC1D25	3105
RHOXF1_63227	RHOXF1	3054
Non-Targeting Control_76627	Non-Targeting Control	5910
CCL20_17020	CCL20	659
RBM6_27269	RBM6	581
SIAH2_17341	SIAH2	591
FAM184B_35681	FAM184B	318
CKB_3277	CKB	1747
HAS1_8174	HAS1	4251
TIMP3_19212	TIMP3	2571
HOXC13_8748	HOXC13	395
APEH_911	APEH	1166
Non-Targeting Control_77008	Non-Targeting Control	4105
KCNU1_63075	KCNU1	740
LCE2C_70082	LCE2C	1621
Non-Targeting Control_77203	Non-Targeting Control	5163
C17orf102_72227	C17orf102	1090
UGT1A4_40357	UGT1A4	820
LTBP2_10848	LTBP2	911
ATF7IP_43172	ATF7IP	2057
LEMD3_33256	LEMD3	425
ZNF182_20513	ZNF182	2898
C7orf77_62938	C7orf77	717
ASB18_72333	ASB18	798
RRP8_32624	RRP8	518
EDN3_5287	EDN3	1241
SC5D_16840	SC5D	538
UCHL5_38639	UCHL5	1215
IRX5_27562	IRX5	2025
SERPINB5_13899	SERPINB5	2207
WNT2B_20304	WNT2B	627
ZFP2_50701	ZFP2	2165
LTB4R2_44250	LTB4R2	938
TMEM206_42074	TMEM206	876
SUB1_29559	SUB1	1700
KCNK9_38437	KCNK9	964
SAV1_46889	SAV1	382
SOAT1_17930	SOAT1	1794
NPAS1_12758	NPAS1	607
ZGPAT_53848	ZGPAT	721
Non-Targeting Control_76458	Non-Targeting Control	3270
CACNG6_46754	CACNG6	1003
ELMO2_47129	ELMO2	973
SNX24_36239	SNX24	920
FEZ1_25442	FEZ1	1230
CEP95_55621	CEP95	1007
ACTL8_51715	ACTL8	862
LILRA5_70186	LILRA5	1218
HCCS_8225	HCCS	3055
BPTF_6064	BPTF	1534
BPIFB3_70194	BPIFB3	700
RORC_16253	RORC	606
RCOR3_43276	RCOR3	638
MAGIX_50347	MAGIX	1550
SFT2D3_54249	SFT2D3	525
MYD88_12005	MYD88	1149
Non-Targeting Control_76536	Non-Targeting Control	6088
MLPH_48888	MLPH	1730
LAIR2_10453	LAIR2	832
MEF2BNB-MEF2B_11320	MEF2BNB-MEF2B	1658
NMS_59698	NMS	3482
MRPS33_39223	MRPS33	154
PRPF40B_33661	PRPF40B	601
MAGEA9B_74617	MAGEA9B	1334
TATDN1_52702	TATDN1	1360
SOD3_17941	SOD3	324
KLKB1_10217	KLKB1	481
SCRT2_55043	SCRT2	3233
OR13D1_68443	OR13D1	1593
KRBA1_53870	KRBA1	490
OGFOD3_49682	OGFOD3	1361
MAPK15_66099	MAPK15	1393
TEX11_44077	TEX11	1410
GID4_48719	GID4	1329
GPR139_58714	GPR139	1633
TCTEX1D2_66653	TCTEX1D2	788
MAP3K1_11344	MAP3K1	1248
Non-Targeting Control_77255	Non-Targeting Control	3701
SMARCE1_17778	SMARCE1	306
AMACR_33285	AMACR	324
AMMECR1L_52285	AMMECR1L	431
CLC_3333	CLC	1204
ACTG2_198	ACTG2	1304
C1orf68_75198	C1orf68	1234
TESPA1_26145	TESPA1	266
SYNGAP1_23128	SYNGAP1	1065
SYNE1_32521	SYNE1	786
UROD_20037	UROD	510
Non-Targeting Control_77155	Non-Targeting Control	3409
