sgRNA	Gene	Clip2_3_NE_GFP_low_BC14_IGO_09496_6_S6
EOMES_21587	EOMES	163
TIGD3_65604	TIGD3	130
CYFIP1_32021	CYFIP1	108
HN1_37986	HN1	15
KIAA1211_45595	KIAA1211	55
SLC46A1_56970	SLC46A1	156
Non-Targeting Control_77428	Non-Targeting Control	370
CTDSP1_46508	CTDSP1	319
NAPRT_56437	NAPRT	113
FAM219B_45227	FAM219B	266
PRAF2_30538	PRAF2	275
STMN3_37437	STMN3	83
Non-Targeting Control_77084	Non-Targeting Control	332
FAM179A_63821	FAM179A	111
ZNF277_30390	ZNF277	247
SYCE3_73919	SYCE3	93
VGF_20142	VGF	285
ARHGAP19_54679	ARHGAP19	76
MBOAT2_59718	MBOAT2	103
NEK7_60854	NEK7	401
IPO9_43096	IPO9	70
SSNA1_22513	SSNA1	105
IL15_9523	IL15	127
DEFA1B_74648	DEFA1B	180
Non-Targeting Control_77214	Non-Targeting Control	941
AGO1_35120	AGO1	180
GPR6_7512	GPR6	111
DQX1_63843	DQX1	394
ALX4_46950	ALX4	81
ENHO_70537	ENHO	140
PPIB_14529	PPIB	58
FIG4_26342	FIG4	120
HSBP1L1_72940	HSBP1L1	223
MBD3_39597	MBD3	50
EVC2_60105	EVC2	129
PMP2_14268	PMP2	225
DLL1_36190	DLL1	63
CPNE4_59902	CPNE4	97
RAB11FIP5_34474	RAB11FIP5	125
S100A9_16747	S100A9	51
TOR1A_5197	TOR1A	18
LOC100130705_75305	LOC100130705	367
ZNF737_75243	ZNF737	67
BOLA1_37586	BOLA1	43
Non-Targeting Control_77344	Non-Targeting Control	638
PIGF_13943	PIGF	22
IL37_35751	IL37	31
GRINA_7775	GRINA	74
KLHL13_55383	KLHL13	367
KIAA1919_55982	KIAA1919	124
FAM155A_74590	FAM155A	275
ZNF415_43371	ZNF415	37
CNTN3_13299	CNTN3	109
IZUMO1R_71717	IZUMO1R	184
C3orf33_68105	C3orf33	135
C15orf61_61486	C15orf61	464
THAP7_51333	THAP7	89
XCR1_7505	XCR1	60
HNRNPH2_8602	HNRNPH2	146
KRTAP4-12_52477	KRTAP4-12	209
ANKRD6_31102	ANKRD6	126
STEAP3_42049	STEAP3	454
CPE_3787	CPE	46
DGKZ_22194	DGKZ	475
MAEA_27673	MAEA	196
CNPY2_27777	CNPY2	59
ASCL1_1237	ASCL1	400
DENND2C_63673	DENND2C	87
MMAA_63908	MMAA	41
NXF1_28238	NXF1	753
C10orf71_58032	C10orf71	195
CITED1_11750	CITED1	79
SMPDL3B_35953	SMPDL3B	182
ZBTB40_26448	ZBTB40	54
CCR7_3461	CCR7	234
NFKBID_54209	NFKBID	69
Non-Targeting Control_76958	Non-Targeting Control	621
ZNF780A_67742	ZNF780A	180
OR1L6_72030	OR1L6	18
KCNK13_44346	KCNK13	185
KLHL10_68535	KLHL10	206
AGAP1_57875	AGAP1	200
FNBP4_32572	FNBP4	97
FAM72C_73575	FAM72C	156
AMOTL1_62931	AMOTL1	61
CCDC153_67228	CCDC153	153
LILRA5_70187	LILRA5	127
Non-Targeting Control_77396	Non-Targeting Control	719
KLF7_22430	KLF7	226
FAM19A4_62540	FAM19A4	139
DNAH14_59386	DNAH14	129
Non-Targeting Control_76628	Non-Targeting Control	460
BLOC1S2_67175	BLOC1S2	55
KPRP_73335	KPRP	343
INPP5K_39459	INPP5K	105
CEP44_51381	CEP44	96
LOC400927-CSNK1E_76434	LOC400927-CSNK1E	269
CEP290_50866	CEP290	45
Non-Targeting Control_77391	Non-Targeting Control	610
GRIN2D_7769	GRIN2D	49
ADRA1A_408	ADRA1A	230
DSG4_61781	DSG4	80
BTBD6_55318	BTBD6	183
SHROOM4_45577	SHROOM4	48
RAB8A_11360	RAB8A	288
AKR1A1_27767	AKR1A1	133
NCF4_12246	NCF4	83
OR2T2_72527	OR2T2	55
LAMB3_10487	LAMB3	563
SMARCD1_17765	SMARCD1	108
TMEM178A_59859	TMEM178A	56
KRT78_64390	KRT78	81
LACTB2_37839	LACTB2	55
SOX3_17978	SOX3	113
ABHD13_54568	ABHD13	177
OTOG_69274	OTOG	91
ZC3H12B_69215	ZC3H12B	65
SLC25A53_72493	SLC25A53	525
CATSPER4_70614	CATSPER4	39
MAN1A1_11072	MAN1A1	90
DPEP2_47501	DPEP2	203
MED19_65315	MED19	241
HCCS_8225	HCCS	387
CFAP57_62175	CFAP57	53
PPP1R3D_14589	PPP1R3D	60
TRAF4_25377	TRAF4	144
CLIC5_39588	CLIC5	32
CSPP1_50143	CSPP1	140
C2CD4C_59188	C2CD4C	87
C10orf76_49341	C10orf76	33
IP6K3_57958	IP6K3	96
CD3G_2563	CD3G	42
C11orf97_73745	C11orf97	141
TMEM259_55795	TMEM259	391
RHOJ_45395	RHOJ	88
OR6C1_71753	OR6C1	127
Non-Targeting Control_76764	Non-Targeting Control	356
ZMYND12_53128	ZMYND12	75
GTF3C2_7983	GTF3C2	100
SLC34A1_17657	SLC34A1	32
GIP_7134	GIP	43
LARP6_42322	LARP6	171
TMEM17_64749	TMEM17	101
STK32C_67172	STK32C	271
C4orf26_62713	C4orf26	175
NTNG2_53876	NTNG2	149
NHSL2_69192	NHSL2	222
