sgRNA	Gene	Clip2_4_DE_GFP_high_BC15_IGO_09496_7_S7
LPPR1_40895	LPPR1	70
Non-Targeting Control_76866	Non-Targeting Control	409
VEZF1_20740	VEZF1	186
TCEAL7_44434	TCEAL7	311
Non-Targeting Control_76717	Non-Targeting Control	261
ADRB1_421	ADRB1	52
ZNF285_35343	ZNF285	262
TMEM109_48861	TMEM109	91
PPT1_14694	PPT1	30
GPR27_7582	GPR27	49
CYSLTR1_29204	CYSLTR1	39
AZGP1_1543	AZGP1	71
Non-Targeting Control_77128	Non-Targeting Control	160
DDX1_4635	DDX1	18
ATXN7L3B_73543	ATXN7L3B	58
ZBTB25_20581	ZBTB25	80
PEX2_15586	PEX2	66
AP4S1_30294	AP4S1	122
PPP3R2_14683	PPP3R2	29
IRS1_9727	IRS1	26
TSNAXIP1_43473	TSNAXIP1	58
CYBA_4309	CYBA	34
CCDC169-SOHLH2_76024	CCDC169-SOHLH2	121
WBP4_30437	WBP4	51
MSC_24284	MSC	53
HYI_52021	HYI	18
PXDC1_65875	PXDC1	179
FAM122C_63272	FAM122C	142
SETD3_53098	SETD3	154
PCSK1_13454	PCSK1	93
IER3IP1_37883	IER3IP1	89
DMBT1_4847	DMBT1	89
Non-Targeting Control_76755	Non-Targeting Control	310
SLC45A3_54896	SLC45A3	40
GSTM4_7903	GSTM4	45
BCL10_23402	BCL10	68
C3orf20_52870	C3orf20	117
Non-Targeting Control_77281	Non-Targeting Control	247
ST6GALNAC4_35543	ST6GALNAC4	14
LAMC1_10492	LAMC1	147
OR6A2_22396	OR6A2	104
PON1_14419	PON1	26
CEP131_31404	CEP131	40
ZSCAN2_41252	ZSCAN2	34
TAOK1_45814	TAOK1	139
ATP13A2_32702	ATP13A2	159
DIABLO_44296	DIABLO	148
SLC26A9_57404	SLC26A9	197
Non-Targeting Control_76687	Non-Targeting Control	155
IKBKB_9370	IKBKB	61
CCDC85B_29826	CCDC85B	61
DEFB107A_66126	DEFB107A	31
Non-Targeting Control_76942	Non-Targeting Control	249
LMF2_55785	LMF2	87
NDP_12261	NDP	107
CUX1_4285	CUX1	206
ZNF44_39352	ZNF44	70
CCDC158_69058	CCDC158	71
CTSL_4261	CTSL	40
TSPAN5_27000	TSPAN5	18
ZGPAT_53849	ZGPAT	129
GPX5_7679	GPX5	48
GPR4_7501	GPR4	114
TIMM8B_35118	TIMM8B	54
OR51E1_61200	OR51E1	148
FAM20B_26424	FAM20B	8
TXNRD3NB_74045	TXNRD3NB	40
PER3_23232	PER3	107
TIMMDC1_38416	TIMMDC1	98
GOT2_7436	GOT2	107
PCCB_13392	PCCB	61
FAM227B_64473	FAM227B	100
OR8G1_35053	OR8G1	41
FRYL_68186	FRYL	70
TSACC_59480	TSACC	10
SMCO1_66668	SMCO1	51
FZD4_21596	FZD4	63
LY86_24866	LY86	152
MROH5_71453	MROH5	65
SRSF2_17196	SRSF2	103
TMEM8C_71504	TMEM8C	65
LSP1_10818	LSP1	30
DOCK10_42815	DOCK10	15
IL1RAPL1_30243	IL1RAPL1	219
COL17A1_3657	COL17A1	27
ACTN2_215	ACTN2	14
Non-Targeting Control_76854	Non-Targeting Control	250
CXorf40B_73512	CXorf40B	73
DUSP5_5158	DUSP5	49
HES2_40345	HES2	101
10-Mar_63501	10-Mar	22
Non-Targeting Control_77402	Non-Targeting Control	237
RAB3C_57583	RAB3C	65
