sgRNA	Gene	Clip2_5_DE_GFP_low_BC18_IGO_09496_10_S10
Non-Targeting Control_77384	Non-Targeting Control	193
CNPY2_27777	CNPY2	26
OR52A1_33094	OR52A1	128
C8orf82_72794	C8orf82	89
CLDN3_3793	CLDN3	159
Non-Targeting Control_77072	Non-Targeting Control	289
GK5_66755	GK5	28
CDX4_2992	CDX4	123
INO80B_52099	INO80B	60
ZNF227_20862	ZNF227	45
TBXA2R_18782	TBXA2R	29
IER3IP1_37885	IER3IP1	154
OR12D2_35139	OR12D2	218
UCHL1_19902	UCHL1	162
STYX_18468	STYX	33
DOCK2_4963	DOCK2	67
SRD5A3_49493	SRD5A3	111
PAPOLG_48223	PAPOLG	105
NGRN_38540	NGRN	147
TFR2_19064	TFR2	67
NHLRC1_70617	NHLRC1	52
TCEB3CL2_75922	TCEB3CL2	51
CELA3B_32813	CELA3B	48
PSEN1_15093	PSEN1	180
STAC3_66221	STAC3	16
PCYT1B_24926	PCYT1B	108
SKOR2_74228	SKOR2	209
RAB11FIP3_25760	RAB11FIP3	53
Non-Targeting Control_76990	Non-Targeting Control	307
CNTNAP1_22136	CNTNAP1	18
PPIL4_54797	PPIL4	47
OSTN_69649	OSTN	125
LGALS7_10610	LGALS7	139
STARD5_51338	STARD5	29
TCAIM_68117	TCAIM	137
ZNF451_34409	ZNF451	29
EFNA1_5333	EFNA1	40
SBNO2_31179	SBNO2	43
NPRL3_21328	NPRL3	31
CYP3A43_48120	CYP3A43	52
CFL1_3066	CFL1	163
CDH17_2889	CDH17	144
GPRASP2_57367	GPRASP2	91
MZT1_72890	MZT1	56
IFT140_25815	IFT140	92
RGAG4_69186	RGAG4	29
C16orf90_74076	C16orf90	51
GRIK2_7739	GRIK2	166
C11orf91_75374	C11orf91	64
PHACTR2_25842	PHACTR2	72
TICAM1_61938	TICAM1	53
Non-Targeting Control_76849	Non-Targeting Control	176
DOLPP1_45191	DOLPP1	124
Non-Targeting Control_77192	Non-Targeting Control	157
ELOVL1_48125	ELOVL1	21
ZFP64_43187	ZFP64	62
POMK_53103	POMK	46
CCL23_17031	CCL23	51
SNX22_50163	SNX22	35
Non-Targeting Control_76645	Non-Targeting Control	444
DCAF5_23073	DCAF5	35
KRTAP4-11_74267	KRTAP4-11	146
C22orf39_59652	C22orf39	77
Non-Targeting Control_77063	Non-Targeting Control	249
NPFFR2_29434	NPFFR2	55
VASN_57390	VASN	136
KIAA0825_68219	KIAA0825	53
PPCS_49728	PPCS	192
Non-Targeting Control_76534	Non-Targeting Control	481
PDILT_65144	PDILT	139
PUSL1_59225	PUSL1	43
OCA2_12987	OCA2	55
SLC39A3_36973	SLC39A3	95
C11orf97_73745	C11orf97	62
MRPL47_45074	MRPL47	22
ACTRT1_60752	ACTRT1	50
1-Mar_47964	1-Mar	220
PTER_24461	PTER	182
BCKDHB_1628	BCKDHB	30
FLT3LG_6477	FLT3LG	143
NIPAL1_62677	NIPAL1	105
UBR1_64491	UBR1	52
COL9A2_3623	COL9A2	107
KIRREL_42051	KIRREL	61
RNF139_30555	RNF139	38
DGAT2_53934	DGAT2	61
ADAM18_22881	ADAM18	43
RNF113A_20769	RNF113A	71
VOPP1_51665	VOPP1	53
GPRC5B_39340	GPRC5B	54
BPTF_6062	BPTF	22
NARS2_49781	NARS2	82
CHST7_44282	CHST7	174
UPF3B_48426	UPF3B	133
NCKAP1L_8287	NCKAP1L	36
RNF103-CHMP3_76029	RNF103-CHMP3	256
TMEM132B_57222	TMEM132B	49
SELPLG_17134	SELPLG	46
SGK3_33465	SGK3	153
TMEM60_54745	TMEM60	41
FRA10AC1_58095	FRA10AC1	73
FAM110A_52202	FAM110A	54
SAV1_46887	SAV1	168
ATP4A_1394	ATP4A	84
IER5_38332	IER5	30
CDCA5_56932	CDCA5	22
FAM72A_74946	FAM72A	64
SPACA5B_74841	SPACA5B	125
GRIA2_7712	GRIA2	27
SLC35E2_26381	SLC35E2	24
MDGA1_67069	MDGA1	203
SFRP4_17181	SFRP4	31
SPTBN1_18147	SPTBN1	133
DCLK2_63890	DCLK2	49
WASF3_29242	WASF3	56
STBD1_23532	STBD1	42
C5orf15_44689	C5orf15	92
AMPD2_742	AMPD2	71
HSBP1_8867	HSBP1	63
SYNPO_30839	SYNPO	67
SMARCA5_22023	SMARCA5	49
Non-Targeting Control_76614	Non-Targeting Control	200
AGBL3_69150	AGBL3	12
C6orf58_70040	C6orf58	64
PRSS50_36548	PRSS50	61
NME6_27332	NME6	28
PCDHB11_43963	PCDHB11	57
ZNF443_27417	ZNF443	29
DND1_70240	DND1	94
ELP2_42082	ELP2	22
RP2_16271	RP2	96
PLSCR5_71311	PLSCR5	105
DEFB1_4700	DEFB1	46
PLP2_14202	PLP2	149
ANK1_794	ANK1	61
PHF1_13854	PHF1	92
Non-Targeting Control_77291	Non-Targeting Control	201
GCLC_7200	GCLC	104
EIF4G3_22638	EIF4G3	44
Non-Targeting Control_77353	Non-Targeting Control	233
Non-Targeting Control_77411	Non-Targeting Control	357
TAS2R50_67013	TAS2R50	36
TMEM187_21485	TMEM187	135
TMPRSS11B_60089	TMPRSS11B	89
Non-Targeting Control_77195	Non-Targeting Control	340
CXorf66_69835	CXorf66	188
MPP6_39290	MPP6	93
HIST1H2BB_8126	HIST1H2BB	65
C9orf47_68404	C9orf47	60
MYO1E_12104	MYO1E	81
C9orf85_60572	C9orf85	178
C19orf71_75168	C19orf71	91
SASH1_32471	SASH1	93
FARP2_26198	FARP2	37
NLRP5_59067	NLRP5	35
LASP1_10516	LASP1	76
GSTZ1_7915	GSTZ1	90
CRTAM_44152	CRTAM	158
ARMC6_56522	ARMC6	92
MPST_11724	MPST	64
TNFRSF17_1665	TNFRSF17	72
Non-Targeting Control_76866	Non-Targeting Control	451
ZCCHC4_36368	ZCCHC4	121
RNF26_48954	RNF26	130
NT5E_12874	NT5E	203
KRT13_10355	KRT13	165
ASAH2_44305	ASAH2	20
FAM149A_33915	FAM149A	123
GRID2_7727	GRID2	55
ZFP28_60858	ZFP28	125
ATP2B3_1385	ATP2B3	52
WFDC8_55344	WFDC8	72
ISYNA1_38845	ISYNA1	22
GALNS_6841	GALNS	90
TREX1_30681	TREX1	50
NRK_65106	NRK	185
TCEANC2_59355	TCEANC2	76
MAN2A2_11074	MAN2A2	53
KCTD16_45734	KCTD16	31
C9orf69_55305	C9orf69	74
FLRT2_33552	FLRT2	75
CDCA7L_42634	CDCA7L	193
Non-Targeting Control_77363	Non-Targeting Control	377
SMAP1_47017	SMAP1	73
PIP_14014	PIP	33
FAM71D_63390	FAM71D	16
MORF4L2_25459	MORF4L2	45
NXN_47664	NXN	112
TTBK1_53883	TTBK1	16
APBB1IP_40138	APBB1IP	38
HIST1H2BF_21672	HIST1H2BF	128
DCAF8L2_69820	DCAF8L2	158
DEDD2_63593	DEDD2	93
AAED1_64359	AAED1	54
ZNF44_39354	ZNF44	84
PLA2G4F_66575	PLA2G4F	16
OR56B4_64386	OR56B4	18
DZANK1_41847	DZANK1	103
BMP8B_1798	BMP8B	110
CFTR_3078	CFTR	46
LALBA_10459	LALBA	56
Non-Targeting Control_76929	Non-Targeting Control	237
CASQ2_2375	CASQ2	83
ZFYVE21_48785	ZFYVE21	236
METRN_48694	METRN	62
HCRTR2_8254	HCRTR2	52
Non-Targeting Control_76580	Non-Targeting Control	133
DSG2_5092	DSG2	114
GAPT_64992	GAPT	87
C19orf73_41730	C19orf73	184
DAPK3_4517	DAPK3	79
NXF1_28238	NXF1	451
RIMS2_25657	RIMS2	55
CEACAM20_58964	CEACAM20	125
MAP3K7CL_44549	MAP3K7CL	107
LRRK2_58302	LRRK2	59
UBE3C_25627	UBE3C	28
ADAT3_56951	ADAT3	15
POMZP3_31275	POMZP3	7
SLC22A13_24691	SLC22A13	13
GYPC_8042	GYPC	125
MTCH1_33583	MTCH1	81
OR11A1_35144	OR11A1	62
INMT_30411	INMT	117
DUSP11_21953	DUSP11	42
RORB_16252	RORB	102
OTUD5_42738	OTUD5	182
TDRD1_44092	TDRD1	70
HIST1H2BO_21689	HIST1H2BO	84
TSPO2_66032	TSPO2	84
GCSAM_66867	GCSAM	170
ZFAND6_40004	ZFAND6	23
BRWD1_39724	BRWD1	94
PLEKHO1_38051	PLEKHO1	40
IGHMBP2_9341	IGHMBP2	13
BGN_1710	BGN	46
Non-Targeting Control_77186	Non-Targeting Control	342
FKBP6_22025	FKBP6	58
GPR101_52227	GPR101	112
TRABD_51070	TRABD	157
C1QTNF8_71840	C1QTNF8	27
SMYD1_62357	SMYD1	45
TAOK3_38569	TAOK3	47
CLHC1_59785	CLHC1	102
AHSP_38515	AHSP	288
CMYA5_64996	CMYA5	62
SLITRK5_34454	SLITRK5	160
TUBA1C_54185	TUBA1C	144
PRPS1L1_65890	PRPS1L1	26
RGS2_16093	RGS2	88
ROM1_16244	ROM1	82
EFCAB11_55325	EFCAB11	58
C8A_2022	C8A	72
IZUMO1_67792	IZUMO1	116
LMO7DN_74910	LMO7DN	117
KCP_70531	KCP	6
BBS7_41949	BBS7	16
MIER2_40157	MIER2	49
LOC388813_71197	LOC388813	165
GPR150_68222	GPR150	66
MSI1_11772	MSI1	71
SLC35F5_51004	SLC35F5	52
BTNL3_29539	BTNL3	139
TCF24_75224	TCF24	113
PIWIL2_41641	PIWIL2	47
GPX1_7664	GPX1	21
COL1A1_3545	COL1A1	16
SIGLEC11_57101	SIGLEC11	113
BLM_1741	BLM	69
DUSP16_51399	DUSP16	75
JADE3_25905	JADE3	106
OAZ3_39298	OAZ3	87
CLCNKB_3373	CLCNKB	170
RGR_16088	RGR	93
FGB_6226	FGB	53
KCNQ1_10117	KCNQ1	55
AUH_1515	AUH	67
Non-Targeting Control_76992	Non-Targeting Control	284
NSUN2_40904	NSUN2	37
MAGEA8_11022	MAGEA8	200
MITF_11508	MITF	98
JUNB_9919	JUNB	27
HOXA10_8662	HOXA10	69
AJUBA_54627	AJUBA	67
Non-Targeting Control_77441	Non-Targeting Control	226
TMEM35_46826	TMEM35	149
RHCE_16132	RHCE	242
GDF15_25077	GDF15	121
CA5B_30566	CA5B	106
MPDZ_22946	MPDZ	118
REM1_36200	REM1	40
IQCF1_60021	IQCF1	165
ZNF420_61899	ZNF420	12
Non-Targeting Control_76766	Non-Targeting Control	422
SGSM3_36115	SGSM3	18
B3GALT6_59230	B3GALT6	258
SH3GLB1_37802	SH3GLB1	57
IL18_9541	IL18	19
CILP2_61955	CILP2	54
Non-Targeting Control_76942	Non-Targeting Control	189
TM6SF1_39555	TM6SF1	72
SERPINB8_13909	SERPINB8	101
GJD3_58906	GJD3	179
EFNA5_5350	EFNA5	5
RARA_15829	RARA	56
MID1IP1_46671	MID1IP1	258
LRRC8A_44186	LRRC8A	31
PTGER3_15334	PTGER3	50
LPAR3_33191	LPAR3	49
SUPT20H_42705	SUPT20H	176
NDUFA8_12294	NDUFA8	73
OPN5_65765	OPN5	58
CSNK1G3_4083	CSNK1G3	133
MTO1_33808	MTO1	39
PSMB8_15198	PSMB8	109
STIP1_29693	STIP1	19
TYSND1_65363	TYSND1	181
FAM102B_67930	FAM102B	48
TGFBI_19097	TGFBI	112
KCNC2_9981	KCNC2	90
GGH_23148	GGH	55
AWAT2_63242	AWAT2	194
UTY_20076	UTY	173
MYO5C_43762	MYO5C	185
PCDHGA10_43914	PCDHGA10	70
OR4P4_51535	OR4P4	77
VPS11_43492	VPS11	124
CEP170B_67446	CEP170B	54
CA11_2130	CA11	58
ASH2L_23762	ASH2L	24
HNRNPA0_29642	HNRNPA0	42
CENPT_50801	CENPT	34
PITPNM3_52069	PITPNM3	43
SGCE_23383	SGCE	55
Non-Targeting Control_76994	Non-Targeting Control	332
TAF6L_28727	TAF6L	29
SPATA3_59835	SPATA3	77
CDK15_48382	CDK15	55
LAT_35464	LAT	41
HOXB5_8694	HOXB5	109
SULT2A1_18490	SULT2A1	92
TMEM14B_51971	TMEM14B	16
NUDT3_30337	NUDT3	289
KCNA3_9952	KCNA3	100
MEPE_44703	MEPE	33
CAPN13_56184	CAPN13	19
Non-Targeting Control_77080	Non-Targeting Control	171
MICB_11482	MICB	61
PDZD8_58107	PDZD8	95
TBL1X_18757	TBL1X	48
RAB29_23446	RAB29	8
FRAT2_32706	FRAT2	168
WBP1_33173	WBP1	73
ABHD8_49301	ABHD8	58
ARHGAP35_7782	ARHGAP35	124
ACSL4_6050	ACSL4	234
TEX38_70409	TEX38	59
ALOX15_679	ALOX15	64
ZNF354A_18859	ZNF354A	81
DEFB110_66133	DEFB110	60
MAT2B_36125	MAT2B	20
GALNT12_49661	GALNT12	24
DCUN1D4_31855	DCUN1D4	34
SIRPA_61058	SIRPA	115
KLF12_30684	KLF12	78
IGFL3_71066	IGFL3	173
ARHGAP40_69559	ARHGAP40	93
GAB2_26168	GAB2	45
ZNF394_52937	ZNF394	86
KIF19_58787	KIF19	27
STEAP4_49638	STEAP4	31
NAT16_70518	NAT16	190
Non-Targeting Control_77337	Non-Targeting Control	420
RAB22A_45414	RAB22A	73
CHUK_3271	CHUK	29
DENND5A_32256	DENND5A	36
C9orf43_66874	C9orf43	36
MARVELD1_52457	MARVELD1	92
MRPS18C_37567	MRPS18C	49
LOC100505549_75829	LOC100505549	93
USP39_28951	USP39	187
FAM185A_65975	FAM185A	147
OR2AE1_51559	OR2AE1	91
JAK2_9902	JAK2	56
TAS2R42_70109	TAS2R42	75
NTN5_59056	NTN5	55
LOXL1_10753	LOXL1	70
SOWAHA_60284	SOWAHA	101
ITM2C_51804	ITM2C	14
ZNF891_76303	ZNF891	29
HMCN1_52563	HMCN1	39
NCF4_12246	NCF4	51
GTF2IRD1_25242	GTF2IRD1	78
