sgRNA	Gene	DE_GFP_high
NDUFA6_12286	NDUFA6	327
GLS2_35731	GLS2	207
LDHB_10559	LDHB	491
USP30_54141	USP30	422
NVL_12949	NVL	664
TMEM102_67655	TMEM102	1419
SLC6A19_69077	SLC6A19	2846
TCF24_75225	TCF24	319
PTPN22_34739	PTPN22	629
ADRB2_425	ADRB2	1299
AVP_1521	AVP	221
CLDN12_23760	CLDN12	634
NHLRC4_67545	NHLRC4	1655
SLC2A6_30402	SLC2A6	234
PRM3_46691	PRM3	1164
SCX_73713	SCX	689
TLDC1_46290	TLDC1	702
CYP4V2_68160	CYP4V2	1593
HOXA11_8668	HOXA11	513
SULF2_43781	SULF2	377
C4BPA_1993	C4BPA	875
LAMP1_10495	LAMP1	1346
COX11_3751	COX11	959
SBF2_51949	SBF2	668
SHC3_39577	SHC3	732
LILRA1_29890	LILRA1	1832
C8orf88_75146	C8orf88	1014
SOX8_37069	SOX8	634
ASXL1_64264	ASXL1	384
FAM105A_40057	FAM105A	258
RPAP1_34350	RPAP1	356
ENDOD1_31588	ENDOD1	548
PAGE4_25035	PAGE4	1734
SOX15_18003	SOX15	138
RRP8_32626	RRP8	813
DDX50_48705	DDX50	355
HSF2BP_30050	HSF2BP	682
Non-Targeting Control_76485	Non-Targeting Control	2292
BST2_1898	BST2	329
PCDHGB4_22529	PCDHGB4	1477
FCGR3B_6167	FCGR3B	726
PRKCE_14829	PRKCE	2116
RTN4RL2_70022	RTN4RL2	1426
B9D2_51351	B9D2	1022
ANKRD62_69424	ANKRD62	1299
LRCH3_54290	LRCH3	644
SLC9A3R1_24622	SLC9A3R1	586
PUF60_30926	PUF60	148
NXPE3_56003	NXPE3	121
PLEKHO2_51055	PLEKHO2	796
SP3_18017	SP3	316
PRSS45_70592	PRSS45	805
Non-Targeting Control_77269	Non-Targeting Control	2272
BEX4_44205	BEX4	1570
NUP37_48736	NUP37	485
KCNMB3_35556	KCNMB3	1128
LCA5_63971	LCA5	174
PM20D2_60345	PM20D2	1574
EIF4A1_5433	EIF4A1	148
GSPT2_33483	GSPT2	1043
SIX2_29026	SIX2	1135
PATE4_72166	PATE4	1041
TAS2R1_37377	TAS2R1	406
CAMSAP1_63082	CAMSAP1	1516
SFMBT1_38814	SFMBT1	1
EDRF1_34567	EDRF1	595
IGF2BP2_28781	IGF2BP2	663
TRIM60_63899	TRIM60	629
STK4_18406	STK4	702
MSC_24284	MSC	504
CLDND1_44320	CLDND1	235
KBTBD3_61236	KBTBD3	1080
CDON_37454	CDON	525
SNPH_25850	SNPH	762
KRT14_10358	KRT14	474
MAGEA9_11027	MAGEA9	1243
SPACA5B_74842	SPACA5B	763
THEGL_75901	THEGL	538
TRIM9_57089	TRIM9	1186
GFM2_53538	GFM2	588
SERPINE2_13908	SERPINE2	845
