sgRNA	Gene	DE_GFP_low
TGFB3_19092	TGFB3	487
FBXO48_73573	FBXO48	394
PPP1R7_14593	PPP1R7	504
ATPAF2_55928	ATPAF2	373
FILIP1_35676	FILIP1	215
TMPRSS5_51470	TMPRSS5	1046
SCML4_66761	SCML4	500
AKAP10_30494	AKAP10	1420
Non-Targeting Control_76848	Non-Targeting Control	2551
ZNF705A_72867	ZNF705A	1297
MYOG_12147	MYOG	317
SH2D1B_57909	SH2D1B	693
HSF4_8912	HSF4	971
TYK2_19784	TYK2	235
TMEM200B_72086	TMEM200B	639
GIMAP7_64023	GIMAP7	1252
C17orf97_72216	C17orf97	1183
CYP7B1_24784	CYP7B1	670
SLC16A2_17649	SLC16A2	912
UBQLN3_37252	UBQLN3	291
RSC1A1_16664	RSC1A1	311
ACD_48373	ACD	779
ZAK_39480	ZAK	471
DLEU7_65563	DLEU7	355
LIMK1_10664	LIMK1	282
GOLT1B_37582	GOLT1B	1013
NEK9_55994	NEK9	1831
B3GAT3_34790	B3GAT3	820
MINPP1_25221	MINPP1	899
CHAC2_73427	CHAC2	553
Non-Targeting Control_77415	Non-Targeting Control	2191
Non-Targeting Control_77341	Non-Targeting Control	2362
SELE_17122	SELE	392
SCD5_50483	SCD5	641
ARIH2OS_74089	ARIH2OS	446
ATP11A_32230	ATP11A	255
GAB3_60740	GAB3	1168
Non-Targeting Control_77197	Non-Targeting Control	3704
ZNF668_49869	ZNF668	1177
IDH3A_9145	IDH3A	1148
CLOCK_25259	CLOCK	955
RSF1_39475	RSF1	580
C19orf33_47299	C19orf33	416
TBX2_18765	TBX2	497
RBM4_15918	RBM4	528
ADAM12_21220	ADAM12	679
Non-Targeting Control_76605	Non-Targeting Control	2443
UBR4_32545	UBR4	201
PYCR1_15600	PYCR1	630
TTLL2_52612	TTLL2	729
HRASLS2_41207	HRASLS2	1425
NDP_12262	NDP	2189
SMIM12_57001	SMIM12	308
PCDHA8_44023	PCDHA8	1170
Non-Targeting Control_76624	Non-Targeting Control	2689
SCRT2_55046	SCRT2	612
DACH2_57897	DACH2	1159
MT1B_11811	MT1B	402
GCGR_6973	GCGR	282
ZNF679_64002	ZNF679	723
Non-Targeting Control_76550	Non-Targeting Control	2967
DPCD_34060	DPCD	642
CCDC28A_34034	CCDC28A	1036
Non-Targeting Control_76570	Non-Targeting Control	3275
KLK9_67797	KLK9	896
SHOX2_17331	SHOX2	392
ZNF329_49591	ZNF329	724
NCAPH_32688	NCAPH	32
FOXF2_6379	FOXF2	960
FNDC5_66264	FNDC5	61
OR5R1_65284	OR5R1	186
NYAP2_46061	NYAP2	480
Non-Targeting Control_76972	Non-Targeting Control	3142
EDDM3A_29395	EDDM3A	606
Non-Targeting Control_76640	Non-Targeting Control	1936
SIAH1_17340	SIAH1	993
MTAP_11847	MTAP	1355
Non-Targeting Control_77041	Non-Targeting Control	2497
UBR2_32391	UBR2	258
SGMS1_66946	SGMS1	233
ZBTB20_34639	ZBTB20	308
SPRY3_27521	SPRY3	550
OPRD1_13054	OPRD1	704
RRP1B_31655	RRP1B	818
IQCF3_72342	IQCF3	427
FZD5_21005	FZD5	662
IGDCC3_25165	IGDCC3	3687
HIVEP2_8360	HIVEP2	68
FNBP4_32573	FNBP4	334
Non-Targeting Control_76545	Non-Targeting Control	3591
OXCT1_13162	OXCT1	1132
C17orf107_75269	C17orf107	313
Non-Targeting Control_77069	Non-Targeting Control	3454
LPAR5_45044	LPAR5	926
SYDE1_54829	SYDE1	512
NDUFB4_12325	NDUFB4	548
CCR2_74851	CCR2	608
Non-Targeting Control_77389	Non-Targeting Control	1887
CFHR3_29404	CFHR3	494
ITGAD_9775	ITGAD	1174
FAM107B_52314	FAM107B	897
