sgRNA	Gene	E8_T0
FAM25G_75475	FAM25G	19
OR51D1_71550	OR51D1	1132
HDAC1_8264	HDAC1	1703
Non-Targeting Control_77214	Non-Targeting Control	6728
HYAL2_22697	HYAL2	404
PHKG2_13880	PHKG2	1069
HSF2BP_30048	HSF2BP	1248
ARHGAP20_45872	ARHGAP20	1178
MCAT_36103	MCAT	364
INADL_27354	INADL	2122
RMI2_57609	RMI2	2608
RIBC2_34667	RIBC2	1250
TRAPPC10_19325	TRAPPC10	1668
MGC57346-CRHR1_76440	MGC57346-CRHR1	386
RNF186_40211	RNF186	1047
CDKN3_2954	CDKN3	509
PSMD10_15272	PSMD10	1883
SNX30_72476	SNX30	1488
ABHD12B_61424	ABHD12B	620
Non-Targeting Control_77326	Non-Targeting Control	1275
FAM49A_51668	FAM49A	1056
NEDD4L_32469	NEDD4L	1095
CXorf56_47173	CXorf56	550
MATK_11149	MATK	1667
BEND2_60657	BEND2	3293
OR2C1_13082	OR2C1	1233
HMOX1_8521	HMOX1	1603
CCDC130_51735	CCDC130	560
GNG4_7361	GNG4	4383
C19orf53_36270	C19orf53	317
PCTP_46560	PCTP	2163
TNFRSF21_35852	TNFRSF21	642
KCNK2_10088	KCNK2	629
PRR34_42132	PRR34	1673
TXNL4B_41130	TXNL4B	467
CLK2_3396	CLK2	800
DLX6_4842	DLX6	861
CCDC154_74030	CCDC154	879
PRKD1_14854	PRKD1	1209
FAM228A_74247	FAM228A	1006
GADD45G_29520	GADD45G	588
ASCC1_37512	ASCC1	505
CRAT_3855	CRAT	319
GLTSCR2_37012	GLTSCR2	324
FAM198B_38469	FAM198B	1181
AQP12A_70469	AQP12A	881
C11orf80_49685	C11orf80	1320
CDH13_2880	CDH13	441
LIMD2_51346	LIMD2	677
MSMP_74459	MSMP	464
THOC7_50780	THOC7	2078
Non-Targeting Control_76845	Non-Targeting Control	4428
SERGEF_34977	SERGEF	1671
RBFOX3_61640	RBFOX3	2342
ZNF670_56526	ZNF670	837
KCNK9_38435	KCNK9	1493
C5orf66_76263	C5orf66	543
MEGF9_5387	MEGF9	2425
HBM_8193	HBM	285
C1orf115_49878	C1orf115	179
PAWR_13320	PAWR	574
