sgRNA	Gene	Clip2_1_E8_T0_BC10_IGO_09496_2_S2
RUNDC3B_62903	RUNDC3B	136
OR4K17_71782	OR4K17	56
Non-Targeting Control_77067	Non-Targeting Control	374
KRT28_63549	KRT28	72
SLC30A6_43000	SLC30A6	37
MAGEB5_69849	MAGEB5	220
Non-Targeting Control_77114	Non-Targeting Control	305
RNF122_50131	RNF122	48
CFL2_3071	CFL2	43
FAM53B_25587	FAM53B	107
CCDC38_58307	CCDC38	41
FAT4_49456	FAT4	149
NUP210_32146	NUP210	34
PCDHGB3_43898	PCDHGB3	125
KIF4B_68243	KIF4B	82
AADAT_38016	AADAT	49
GCSAM_66867	GCSAM	249
GDAP1L1_48662	GDAP1L1	152
ZNF513_59830	ZNF513	92
SYTL4_56709	SYTL4	169
SCN1B_16877	SCN1B	11
BAALC_50207	BAALC	95
KCNJ8_10045	KCNJ8	175
SPTY2D1_61264	SPTY2D1	53
CXorf56_47171	CXorf56	36
LRRC36_42187	LRRC36	161
CYSLTR1_29205	CYSLTR1	118
CLVS1_63065	CLVS1	16
SSX2IP_57926	SSX2IP	85
STK32C_67171	STK32C	138
USP27X_71513	USP27X	179
KIF1C_29064	KIF1C	331
LRFN4_48664	LRFN4	228
MPV17L2_54168	MPV17L2	26
NUP93_25618	NUP93	150
TARM1_73199	TARM1	208
HIST1H4K_21748	HIST1H4K	58
XPO5_45682	XPO5	84
SGMS1_66947	SGMS1	193
SUPT20HL1_75266	SUPT20HL1	51
Non-Targeting Control_76979	Non-Targeting Control	436
EFHC2_51014	EFHC2	92
STX12_33453	STX12	6
CTHRC1_57590	CTHRC1	111
CT47A4_74554	CT47A4	146
BCL2L10_26747	BCL2L10	225
KCNE3_26714	KCNE3	157
KLHL2_30674	KLHL2	115
MAGEA5_11014	MAGEA5	62
ECSCR_73672	ECSCR	43
Non-Targeting Control_77204	Non-Targeting Control	404
GFI1_7067	GFI1	51
FMO1_6488	FMO1	102
COLGALT2_31804	COLGALT2	144
SPAG17_64668	SPAG17	196
AHR_544	AHR	193
MGAT1_11423	MGAT1	89
OR6B2_71270	OR6B2	109
SULT2B1_18483	SULT2B1	64
OR13C2_72028	OR13C2	185
GNL1_7389	GNL1	107
HS2ST1_25500	HS2ST1	120
C14orf159_50607	C14orf159	118
GP9_7459	GP9	171
PXT1_66043	PXT1	172
MPPED2_2056	MPPED2	121
Non-Targeting Control_77119	Non-Targeting Control	318
BBC3_35602	BBC3	42
RAB14_39014	RAB14	54
GUCY1A2_7986	GUCY1A2	220
TRPV2_38685	TRPV2	85
CHST3_24932	CHST3	42
STPG1_55526	STPG1	35
SLITRK1_57226	SLITRK1	189
ZHX1-C8orf76_76157	ZHX1-C8orf76	284
ZNF770_41243	ZNF770	49
H3F3C_72873	H3F3C	139
GZF1_47742	GZF1	108
SMAD4_10967	SMAD4	31
PRDM4_30150	PRDM4	58
R3HDM1_33024	R3HDM1	96
MAPKAP1_48957	MAPKAP1	250
PIFO_59507	PIFO	59
CLK1_3391	CLK1	84
TRIM39_44341	TRIM39	26
ZSCAN4_64905	ZSCAN4	144
DLK2_48559	DLK2	137
ARAF_1060	ARAF	54
ANKRD11_36551	ANKRD11	70
EBPL_53935	EBPL	212
USP43_58801	USP43	173
KCNMB3_35556	KCNMB3	142
CRLS1_40388	CRLS1	193
MYL10_56512	MYL10	67
USP17L2_70595	USP17L2	161
SLC25A11_21837	SLC25A11	29
Non-Targeting Control_77316	Non-Targeting Control	330
CSF2RA_4021	CSF2RA	127
FARSB_26857	FARSB	104
C9orf142_68419	C9orf142	93
SIRPB2_67988	SIRPB2	112
Non-Targeting Control_76899	Non-Targeting Control	278
KRTAP6-3_68642	KRTAP6-3	137
Non-Targeting Control_76443	Non-Targeting Control	388
XK_20337	XK	64
SWSAP1_59031	SWSAP1	37
CT47A4_74557	CT47A4	114
SYT3_53246	SYT3	39
OR8B2_35211	OR8B2	88
CABP2_38841	CABP2	98
ZNF662_71275	ZNF662	35
SPEF1_33965	SPEF1	88
PATE2_72161	PATE2	219
ANKRD42_68785	ANKRD42	59
LDHAL6B_56258	LDHAL6B	23
HES2_40345	HES2	213
PDLIM1_23936	PDLIM1	119
PYROXD2_54194	PYROXD2	70
Non-Targeting Control_77186	Non-Targeting Control	465
LRCH1_31862	LRCH1	30
ZGPAT_53849	ZGPAT	161
SAMD10_60915	SAMD10	32
GEMIN2_22074	GEMIN2	73
APAF1_870	APAF1	177
SURF2_18518	SURF2	55
LNX1_54092	LNX1	140
Non-Targeting Control_77278	Non-Targeting Control	142
TSN_19625	TSN	95
RUFY2_43013	RUFY2	89
Non-Targeting Control_77197	Non-Targeting Control	564
GRIA1_7705	GRIA1	97
FADS2_24770	FADS2	152
TRIM62_41990	TRIM62	36
Non-Targeting Control_76866	Non-Targeting Control	715
BCL9_1662	BCL9	60
ARHGEF6_24900	ARHGEF6	113
COPS8_29550	COPS8	192
MYO10_12133	MYO10	147
Non-Targeting Control_77291	Non-Targeting Control	375
VTN_20201	VTN	72
SMAD9_10982	SMAD9	116
TMEM114_67554	TMEM114	219
Non-Targeting Control_76611	Non-Targeting Control	523
Non-Targeting Control_76610	Non-Targeting Control	470
AASS_27194	AASS	173
OAF_65597	OAF	483
DAAM2_32961	DAAM2	33
Non-Targeting Control_77137	Non-Targeting Control	346
TRIL_26234	TRIL	50
FGF12_6277	FGF12	25
KRT31_10384	KRT31	125
C8orf48_63060	C8orf48	82
SLC46A3_67405	SLC46A3	53
TET2_40572	TET2	122
Non-Targeting Control_76766	Non-Targeting Control	598
DTX2_57074	DTX2	181
IFNL2_67122	IFNL2	66
WDR86_70003	WDR86	219
LRRC23_27452	LRRC23	39
AMIGO3_70705	AMIGO3	43
HMHB1_46446	HMHB1	70
TLE1_19241	TLE1	100
ZNRF3_52964	ZNRF3	136
FAM47E-STBD1_76202	FAM47E-STBD1	276
ZNF532_41922	ZNF532	132
NUDT2_873	NUDT2	73
RSC1A1_16662	RSC1A1	36
