sgRNA	Gene	Clip2_7_E8_control_BC21_IGO_09496_13_S13
CAMKMT_50056	CAMKMT	116
WARS_20209	WARS	54
HIST1H2BO_21691	HIST1H2BO	96
GPC2_65910	GPC2	51
ENOX2_28291	ENOX2	104
C9orf69_55304	C9orf69	37
FUT3_6652	FUT3	46
Non-Targeting Control_76980	Non-Targeting Control	174
GPR108_44608	GPR108	70
Non-Targeting Control_76900	Non-Targeting Control	196
TRIM77_71713	TRIM77	25
LRRC46_55499	LRRC46	32
C20orf202_72292	C20orf202	15
FUCA1_6628	FUCA1	65
ENPP7_68875	ENPP7	136
TEX13B_44063	TEX13B	54
FRK_6577	FRK	33
ACTR3_26992	ACTR3	51
AVPR1A_1528	AVPR1A	103
TRIM49B_67206	TRIM49B	101
OR11A1_35144	OR11A1	68
COPZ1_30895	COPZ1	19
AGMAT_50024	AGMAT	137
MYCN_12003	MYCN	45
MUM1_54549	MUM1	44
RHBDD2_45449	RHBDD2	36
B3GALT4_22734	B3GALT4	57
RHBDL1_23635	RHBDL1	42
MOCS2_11675	MOCS2	38
DEFB129_61051	DEFB129	58
APC2_27678	APC2	194
HLA-DQB1_8426	HLA-DQB1	321
FAM216A_36739	FAM216A	37
CASKIN1_45724	CASKIN1	120
CXorf36_49815	CXorf36	89
SMARCAD1_44567	SMARCAD1	89
PDE6C_13533	PDE6C	110
GPR146_57463	GPR146	25
CHAD_3108	CHAD	87
Non-Targeting Control_76867	Non-Targeting Control	460
KLRD1_10238	KLRD1	95
CXCL10_9615	CXCL10	73
GPR183_5233	GPR183	127
RWDD1_38678	RWDD1	155
FAM107A_30356	FAM107A	113
DNAJC21_60230	DNAJC21	10
Non-Targeting Control_77095	Non-Targeting Control	373
ZNF331_42498	ZNF331	65
DDHD2_32262	DDHD2	82
VAPA_24220	VAPA	47
Non-Targeting Control_77206	Non-Targeting Control	253
SMCO1_66666	SMCO1	67
SGCG_17250	SGCG	40
TBL1X_18758	TBL1X	61
GSTA5_65762	GSTA5	65
LCP2_10547	LCP2	17
ARRDC4_56061	ARRDC4	44
RUFY1_50972	RUFY1	71
PCDHB9_43971	PCDHB9	74
CCNB3_54909	CCNB3	40
VTI1B_28270	VTI1B	30
